,QGL,Qo,PFUNDO,TFUNDO,psup,TMONCKTP,qliq,QGT,Qw,bsw,rgo,rgl,delta_p
116,0.0,149.99999999999997,205.6496058884666,88.0,60.0,48.32219601204702,1500.0,30000.0,1350.0,0.9,200.00000000000003,20.0,145.6496058884666
117,0.0,15.000000000000014,204.2555225645726,88.0,60.0,49.80379422976184,1500.0,30000.0,1485.0,0.99,1999.9999999999984,20.0,144.2555225645726
118,0.0,1485.0,135.89958819771462,88.0,60.0,18.83750192269488,1500.0,300000.0,15.0,0.01,202.020202020202,200.0,75.89958819771462
119,0.0,1350.0,134.61605601509817,88.0,60.0,23.441159254392566,1500.0,300000.0,150.0,0.1,222.22222222222223,200.0,74.61605601509817
120,0.0,1050.0,132.91055436021287,88.0,60.0,31.82345729277275,1500.0,300000.0,450.0,0.3,285.7142857142857,200.0,72.91055436021287
121,0.0,600.0,138.79048826210254,88.0,60.0,41.00659826938869,1500.0,300000.0,900.0,0.6,500.0,200.0,78.79048826210254
122,0.0,149.99999999999997,131.58238089249707,88.0,60.0,47.08603770443314,1500.0,300000.0,1350.0,0.9,2000.0000000000005,200.0,71.58238089249707
123,0.0,15.000000000000014,131.74349649221628,88.0,60.0,48.68298164162427,1500.0,300000.0,1485.0,0.99,19999.99999999998,200.0,71.74349649221628
124,0.0,1485.0,125.79495744667278,88.0,60.0,23.65826998415796,1500.0,750000.0,15.0,0.01,505.050505050505,500.0,65.79495744667278
125,0.0,1350.0,126.51766310493336,88.0,60.0,27.364912280457933,1500.0,750000.0,150.0,0.1,555.5555555555555,500.0,66.51766310493336
126,0.0,1050.0,129.89544750416258,88.0,60.0,33.82108686221803,1500.0,750000.0,450.0,0.3,714.2857142857143,500.0,69.89544750416258
127,0.0,600.0,144.43262144721984,88.0,60.0,39.84744631965543,1500.0,750000.0,900.0,0.6,1250.0,500.0,84.43262144721984
128,0.0,149.99999999999997,134.55909052654206,88.0,60.0,47.1889373604194,1500.0,750000.0,1350.0,0.9,5000.000000000001,500.0,74.55909052654206
129,0.0,15.000000000000014,135.8629332964477,88.0,60.0,48.52881452699867,1500.0,750000.0,1485.0,0.99,49999.99999999995,500.0,75.8629332964477
